Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),284.23,0.00,57851.96,,,,,,293.47,,445.91,567.89,660.73,189.66
Active Decode Throughput Per User (tokens/sec/user),149.22,0.00,22881.19,,,,,,151.66,,166.31,179.41,263.23,68.42
Active Prefill Throughput (tokens/sec),126464.88,2802.08,407347.05,,,,,,124830.28,,179809.43,234502.64,286566.07,56438.68
Active Prefill Throughput Per User (tokens/sec/user),111399.29,2802.08,180004.68,,,,,,117251.32,,159436.58,169774.61,177831.03,39616.42
Active Total Throughput (tokens/sec),38227.00,139.27,407488.23,,,,,,412.33,,145707.39,165104.85,250940.69,65658.31
Credit-to-Start Latency (ms),1.88,0.85,13.76,618.50,0.87,1.02,1.12,1.25,1.49,1.92,2.52,4.01,10.94,1.53
Decode Duration (ms),4104.50,0.00,88567.02,1350379.88,42.70,437.30,698.44,933.58,1577.87,3157.43,8326.78,18960.18,40789.67,8556.96
E2E Output Token Throughput (tokens/sec/user),100.46,1.89,154.25,33051.60,11.28,55.38,71.91,85.65,101.01,118.96,135.19,141.31,146.18,27.01
Effective Concurrency,1.73,0.00,5.00,,,,,,2.00,,4.00,4.00,5.00,1.29
Effective Decode Concurrency,1.45,0.00,5.00,,,,,,1.00,,3.00,4.00,4.00,1.19
Effective Decode Throughput (tokens/sec),211.80,0.00,57851.96,,,,,,163.56,,434.87,550.87,643.58,205.29
Effective Decode Throughput Per User (tokens/sec/user),111.20,0.00,22881.19,,,,,,144.88,,164.02,171.25,248.50,87.85
Effective Latency (CO-aware) (ms),4899.97,176.28,89808.26,1612089.67,410.62,1077.10,1340.10,1727.57,2364.57,4020.79,9459.37,19755.12,41902.12,8604.27
Effective Prefill Concurrency,0.28,0.00,3.00,,,,,,0.00,,1.00,1.00,2.00,0.53
Effective Prefill Throughput (tokens/sec),30903.47,0.00,407347.05,,,,,,0.00,,138228.56,160177.24,246077.68,61086.48
Effective Prefill Throughput Per User (tokens/sec/user),27221.98,0.00,180004.68,,,,,,0.00,,124498.12,146619.87,171849.91,51720.33
Effective Total Throughput (tokens/sec),31115.27,0.00,407488.23,,,,,,298.43,,138228.56,160177.24,246353.21,61076.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,592.19,2.00,12181.00,194830.00,8.56,70.60,101.60,138.00,226.00,456.00,1259.40,2666.00,6010.00,1217.95
HTTP Chunks Sent,1.00,1.00,1.00,329.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,17.24,74.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.56,1.47
HTTP Connection Overhead (ms),0.38,0.00,32.32,123.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.21,2.63
HTTP Connection Reused (ratio),0.97,0.00,1.00,318.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.18
HTTP Data Received (KB),156.04,0.94,3194.09,51337.47,2.74,19.23,27.76,36.90,59.90,120.69,331.26,699.87,1574.90,319.53
HTTP Data Sent (KB),326.11,1.28,778.97,107290.33,2.06,75.85,111.37,207.97,312.26,406.10,614.36,656.38,751.60,171.73
HTTP DNS Lookup (ms),0.15,0.00,15.09,49.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.63,1.18
HTTP Duration (excl. conn) (ms),4897.96,174.46,89806.15,1611430.01,406.99,1075.43,1338.43,1726.04,2360.53,4019.56,9457.71,19753.17,41900.40,8604.17
HTTP Receiving (ms),4104.97,0.51,88567.11,1350535.48,42.80,437.59,698.45,933.60,1577.87,3157.44,8327.39,18960.41,40793.17,8557.33
HTTP Sending (ms),0.51,0.08,17.73,166.61,0.14,0.17,0.18,0.19,0.25,0.33,0.37,0.85,9.06,1.50
HTTP Total Time (ms),4898.34,174.46,89806.15,1611553.75,416.05,1075.43,1338.43,1726.04,2360.53,4019.56,9457.71,19753.57,41900.40,8604.19
HTTP Waiting (TTFB) (ms),792.49,96.21,4072.71,260727.92,151.18,357.23,441.23,583.83,736.34,958.35,1183.31,1324.89,1830.75,368.09
Input Sequence Length (tokens),87356.48,271.00,208645.00,28740282.00,533.40,20227.80,29872.00,55524.00,83451.00,108281.00,164788.20,176198.20,201539.40,46100.71
Inter Chunk Latency (ms),6.95,0.00,94.17,1350379.88,0.69,4.58,5.96,6.42,6.81,7.14,7.88,9.41,15.10,2.39
Inter Token Latency (ms),6.71,1.05,7.77,2200.48,3.70,6.06,6.23,6.47,6.81,7.05,7.22,7.36,7.70,0.66
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),599.71,1.00,12336.00,197306.00,13.28,73.40,106.00,141.00,231.00,463.00,1282.00,2688.80,6059.24,1229.78
Output Token Count (tokens),599.71,1.00,12336.00,197306.00,13.28,73.40,106.00,141.00,231.00,463.00,1282.00,2688.80,6059.24,1229.78
Output Token Throughput Per User (tokens/sec/user),153.63,128.70,953.70,50390.95,129.84,135.83,138.50,141.84,146.93,154.65,160.46,164.95,270.09,56.23
Prefill Throughput Per User (tokens/sec/user),109313.04,581.67,180004.67,35963991.11,3377.42,28520.05,57569.08,81132.21,111495.30,140574.94,158620.91,164768.56,177343.13,39836.38
Request Latency (ms),4897.92,173.91,89806.18,1611416.92,406.53,1075.56,1338.54,1726.16,2360.31,4019.65,9457.69,19753.28,41900.50,8604.15
Time to First Output Token (ms),793.43,96.71,4074.46,261037.05,151.62,358.85,441.69,584.11,736.76,958.63,1183.92,1328.45,1837.60,368.47
Time to First Token (ms),793.43,96.71,4074.46,261037.05,151.62,358.85,441.69,584.11,736.76,958.63,1183.92,1328.45,1837.60,368.47
Time to Second Token (ms),0.85,0.00,29.25,279.92,0.00,0.00,0.00,0.00,0.12,0.34,1.74,5.71,14.60,2.70
Tokens In Flight (tokens),178947.92,0.00,634942.67,,,,,,153254.39,,392182.91,456014.56,522908.30,143299.85
Usage Completion Tokens (tokens),599.71,1.00,12336.00,197306.00,13.28,73.40,106.00,141.00,231.00,463.00,1282.00,2688.80,6059.24,1229.78
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),87356.48,271.00,208645.00,28740282.00,533.40,20227.80,29872.00,55524.00,83451.00,108281.00,164788.20,176198.20,201539.40,46100.71
Usage Total Tokens (tokens),87956.19,285.00,208822.00,28937588.00,556.24,20300.20,30115.80,55677.00,84108.00,108672.00,165818.80,176343.80,203726.36,46308.21

Metric,Value
Benchmark Duration (sec),908.15
Input Token Throughput (tokens/sec),30903.47
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),212.16
Overall Usage Prompt Cache Read % (%),0.00
Request Count,329.00
Request Throughput (requests/sec),0.35
Theoretical Prefix Cache Hit (%),94.96
Total Input Sequence Length (tokens),28740282.00
Total Output Sequence Length (tokens),197306.00
Total Output Tokens (tokens),197306.00
Total Token Throughput (tokens/sec),31115.63
Total Usage Completion Tokens (tokens),197306.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),28740282.00
Total Usage Total Tokens (tokens),28937588.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
